Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
Blob,Repaired,1,1,49.67,81.67,32.00,1.64 ,9.17,24.34,2.65,1315.99,1316.16,1.00
,,2,1,35.67,82.33,46.67,2.31 ,8.15,38.19,4.69,1574.95,1575.22,1.00
,,3,2,65.00,78.67,13.67,1.21 ,10.50,25.77,2.45,1245.90,1245.93,1.00
,,4,2,82.33,83.00,0.67,1.01,11.16,25.05,2.24,1279.60,1278.32,1.00
,,5,1,35.67,74.00,38.33,2.07,6.78,21.58,3.18,1578.95,1579.06,1.00
,,6,1,39.00,83.33,44.33,2.14,4.53,16.18,3.57,1561.95,1563.70,1.00
,,7,1,53.00,81.00,28.00,1.53,21.00,33.04,1.57,1575.69,1582.19,1.00
,,8,1,82.00,84.00,2.00,1.02,12.24,19.58,1.60,1269.64,1269.65,1.00
,,9,1,33.33,35.67,2.33,1.07,36.07,92.99,2.58,1552.70,1551.70,1.00
,,10,1,82.00,80.67,-1.33,0.98,10.17,18.56,1.82,1191.82,1200.82,1.01
,,11,1,35.67,83.00,47.33,2.33,6.46,25.82,4.00,1566.95,1570.45,1.00
,,12,1,63.00,81.00,18.00,1.29,6.02,12.29,2.04,1269.59,1269.61,1.00
,,13,1,85.00,81.67,-3.33,0.96,22.26,43.99,1.98,1564.45,1564.45,1.00
,,14,1,63.33,80.67,17.33,1.27,16.06,30.08,1.87,1252.07,1261.15,1.01
,,15,2,63.67,79.67,16.00,1.25,16.61,41.07,2.47,1179.93,1190.89,1.01
,,16,1,85.33,82.67,-2.67,0.97,31.06,65.06,2.09,1554.12,1552.32,1.00
,,17,1,65.00,83.67,18.67,1.29,11.82,23.55,1.99,1269.05,1268.99,1.00
,,18,2,54.00,83.00,29.00,1.54,31.00,71.21,2.30,1252.12,1252.15,1.00
,,19,1,39.33,79.67,40.33,2.03,4.94,15.44,3.12,1572.70,1572.70,1.00
,,20,1,40.33,82.33,42.00,2.04,14.74,28.86,1.96,1554.17,1558.01,1.00
,,21,1,39.00,80.00,41.00,2.05,5.13,15.62,3.04,1561.20,1561.20,1.00
,,22,2,64.67,81.33,16.67,1.26,15.31,41.09,2.68,1244.95,1245.29,1.00
,,23,2,78.67,84.67,6.00,1.08,7.54,17.49,2.32,1279.53,1279.55,1.00
,,24,1,54.33,82.00,27.67,1.51,22.50,40.65,1.81,1269.67,1268.62,1.00
,,25,2,78.33,84.67,6.33,1.08,7.71,18.27,2.37,1248.31,1248.41,1.00
,,26,1,53.00,71.67,18.67,1.35,5.88,13.38,2.28,1574.19,1574.19,1.00
,,27,1,66.33,81.33,15.00,1.23,12.02,21.17,1.76,1187.14,1193.74,1.01
,,28,2,65.33,81.33,16.00,1.24,19.81,53.69,2.71,1248.38,1248.89,1.00
,,29,1,65.00,81.33,16.33,1.25,12.05,20.98,1.74,1268.85,1268.88,1.00
,,30,1,32.00,79.67,47.67,2.49,12.46,22.53,1.81,1278.39,1278.40,1.00
,,31,1,69.00,82.33,13.33,1.19,39.66,68.62,1.73,1269.09,1269.11,1.00
,,32,1,50.33,59.33,9.00,1.18,11.26,25.46,2.26,1303.80,1291.99,0.99
,,33,1,50.33,80.33,30.00,1.60,9.24,20.61,2.23,1322.56,1322.56,1.00
,,34,2,75.00,69.00,-6.00,0.92,13.34,125.11,9.38,1320.49,1319.74,1.00
,,35,1,35.67,82.67,47.00,2.32,10.43,23.27,2.23,1565.45,1565.45,1.00
,,36,2,32.67,85.67,53.00,2.62,6.67,17.76,2.66,1250.56,1250.61,1.00
,,37,2,66.33,75.33,9.00,1.14,6.63,19.28,2.91,1253.54,1252.77,1.00
,,38,1,58.33,79.67,21.33,1.37,7.44,18.64,2.50,1251.07,1251.14,1.00
,,39,1,80.67,86.33,5.67,1.07,18.74,28.12,1.50,1269.19,1269.25,1.00
,,40,1,35.67,83.67,48.00,2.35,17.66,61.35,3.47,1567.50,1565.45,1.00
,,41,1,39.00,80.00,41.00,2.05,5.33,16.81,3.15,1559.95,1560.45,1.00
,,42,1,10.33,83.00,72.67,8.03,6.19,11.45,1.85,1239.07,1239.25,1.00
,,43,1,39.00,81.33,42.33,2.09,17.21,30.56,1.78,1576.20,1576.20,1.00
,,44,2,75.00,85.33,10.33,1.14,8.89,23.01,2.59,1260.27,1260.35,1.00
,,45,1,20.33,82.33,62.00,4.05,18.53,44.35,2.39,1580.68,1571.75,0.99
,,46,1,35.67,70.33,34.67,1.97,7.68,20.83,2.71,1561.21,1561.46,1.00
,,47,1,60.33,81.67,21.33,1.35,11.09,20.77,1.87,1246.35,1246.46,1.00
,,48,1,49.67,81.33,31.67,1.64,13.35,23.58,1.77,1315.86,1316.80,1.00
,,49,1,20.33,82.00,61.67,4.03,7.56,20.65,2.73,1556.71,1556.71,1.00
,,50,1,30.67,82.67,52.00,2.70,15.19,34.27,2.26,1576.39,1577.93,1.00
,,51,1,82.00,83.67,1.67,1.02,8.31,14.73,1.77,1279.30,1279.73,1.00
,,52,1,40.33,78.67,38.33,1.95,17.99,24.03,1.34,1550.91,1554.17,1.00
,,53,1,52.00,81.00,29.00,1.56,39.23,56.30,1.44,1573.45,1574.70,1.00
,,54,1,35.67,35.67,0.00,1.00,5.70,30.02,5.27,1573.95,1573.95,1.00
,,55,1,83.33,85.00,1.67,1.02,22.51,41.44,1.84,1270.59,1269.54,1.00
,,56,1,12.67,85.00,72.33,6.71,16.67,29.16,1.75,1270.00,1270.01,1.00
,,57,1,40.00,82.67,42.67,2.07,17.28,31.87,1.84,1575.34,1574.95,1.00
,,58,1,35.67,81.00,45.33,2.27,8.23,40.99,4.98,1573.70,1573.95,1.00
,,59,1,59.00,80.00,21.00,1.36,13.41,23.75,1.77,1157.88,1174.61,1.01
,,60,1,49.67,80.67,31.00,1.62,14.03,36.13,2.58,1318.41,1318.86,1.00
,,61,1,82.33,84.33,2.00,1.02,15.75,26.89,1.71,1269.46,1269.59,1.00
,,62,1,82.33,84.00,1.67,1.02,31.73,50.21,1.58,1268.69,1268.72,1.00
,,63,2,63.67,81.33,17.67,1.28,9.27,23.18,2.50,1252.82,1252.83,1.00
,,64,1,49.67,84.67,35.00,1.70,11.25,23.16,2.06,1315.30,1314.55,1.00
,,65,2,68.33,83.33,15.00,1.22,7.08,18.93,2.67,1156.65,1168.09,1.01
,,66,2,30.00,84.67,54.67,2.82,5.96,16.53,2.77,1269.70,1269.75,1.00
,,67,1,13.67,85.00,71.33,6.22,11.06,31.02,2.81,1191.42,1207.08,1.01
,,68,1,50.33,82.67,32.33,1.64,12.99,30.99,2.39,1282.06,1258.63,0.98
,,69,1,51.33,82.67,31.33,1.61,7.91,35.12,4.44,1560.70,1562.20,1.00
,,70,2,35.67,85.67,50.00,2.40,4.88,55.08,11.29,1563.95,1564.45,1.00
,,71,1,84.00,84.33,0.33,1.00,9.59,16.27,1.70,1270.04,1269.91,1.00
,,72,1,40.33,71.67,31.33,1.78,5.82,15.03,2.58,1573.69,1573.69,1.00
,,73,1,49.67,78.67,29.00,1.58,11.35,25.73,2.27,1316.07,1308.97,0.99
,,74,2,30.67,53.33,22.67,1.74,33.70,234.39,6.96,1541.92,1540.98,1.00
,,75,1,55.67,85.33,29.67,1.53,10.28,17.86,1.74,1269.92,1269.95,1.00
,,76,1,49.67,62.00,12.33,1.25,10.94,19.91,1.82,1316.39,1316.14,1.00
,,77,3,30.67,83.33,52.67,2.72,15.86,586.63,36.98,1564.95,1565.12,1.00
,,78,1,39.00,80.67,41.67,2.07,9.37,18.70,1.99,1574.14,1573.92,1.00
,,79,1,82.33,83.33,1.00,1.01,14.77,24.07,1.63,1269.06,1269.08,1.00
,,80,1,28.33,56.33,28.00,1.99,6.61,13.71,2.07,1239.86,1239.99,1.00
,,81,1,62.00,79.33,17.33,1.28,9.45,17.92,1.90,1269.93,1269.94,1.00
,,82,1,49.67,84.33,34.67,1.70,9.96,19.24,1.93,1318.30,1318.30,1.00
,,83,2,61.00,85.33,24.33,1.40,15.53,35.46,2.28,1253.36,1253.47,1.00
,,84,1,40.67,82.33,41.67,2.02,11.65,20.07,1.72,1572.95,1572.95,1.00
,,85,1,46.67,83.33,36.67,1.79,33.05,45.95,1.39,1565.00,1565.21,1.00
,,86,2,33.67,81.00,47.33,2.41,7.51,116.74,15.54,1561.20,1561.20,1.00
,,87,1,82.67,84.33,1.67,1.02,8.95,17.22,1.92,1215.85,1227.01,1.01
,,88,1,82.00,83.33,1.33,1.02,8.66,14.39,1.66,1270.30,1270.48,1.00
,,89,2,67.67,80.67,13.00,1.19,30.41,66.71,2.19,1225.60,1225.91,1.00
,,90,1,35.67,81.33,45.67,2.28,16.96,34.56,2.04,1564.70,1566.21,1.00
,,91,2,53.67,80.00,26.33,1.49,6.94,20.15,2.90,1249.28,1249.38,1.00
