Dataset,Status,Model,#Problem,Accuracy,,,,Train Time,,,Average Memory,,
,,,,Original(%),AT(%),Improve(%),Ratio,Original(s),AT(s),Ratio,Original(MB),AT(MB),Ratio
,,96,1,47.67,87.00,39.33,0.83,21.52,34.76,1.62,1331.38,1330.92,1.00
,,97,1,48.67,76.33,27.67,0.57,18.85,36.54,1.94,1334.84,1330.30,1.00
,,98,1,50.67,87.33,36.67,0.72,34.79,42.73,1.23,1330.59,1330.59,1.00
,,99,1,47.00,87.00,40.00,0.85,9.42,19.66,2.09,1329.84,1330.59,1.00
,,100,1,50.33,65.00,14.67,0.29,8.32,18.04,2.17,1329.84,1330.09,1.00
,,101,1,50.67,87.00,36.33,0.72,11.85,24.70,2.08,1330.27,1329.84,1.00
,,102,3,49.67,87.00,37.33,0.75,10.80,141.26,13.07,1331.09,1330.95,1.00
,,103,1,84.33,87.33,3.00,0.04,22.78,43.19,1.90,1330.59,1331.84,1.00
,,104,1,49.67,87.33,37.67,0.76,130.66,205.65,1.57,1330.60,1330.59,1.00
,,105,1,47.00,87.33,40.33,0.86,44.16,55.75,1.26,1330.97,1329.85,1.00
,,106,1,46.67,63.33,16.67,0.36,7.48,21.34,2.85,1331.66,1331.66,1.00
,,107,1,52.33,87.33,35.00,0.67,56.88,94.72,1.67,1330.16,1331.66,1.00
,,108,1,52.00,87.00,35.00,0.67,72.34,134.27,1.86,1329.91,1329.91,1.00
,,109,1,50.00,88.00,38.00,0.76,24.95,42.85,1.72,1334.90,1337.15,1.00
,,110,1,49.33,87.33,38.00,0.77,16.63,34.23,2.06,1338.74,1337.51,1.00
,,111,1,47.33,87.33,40.00,0.85,24.92,43.00,1.73,1366.00,1366.00,1.00
,,112,1,54.33,88.33,34.00,0.63,29.79,60.53,2.03,1359.25,1359.25,1.00
,,113,1,49.67,88.00,38.33,0.77,31.78,49.98,1.57,1359.00,1359.00,1.00
,,114,1,47.33,87.00,39.67,0.84,43.09,84.22,1.95,1357.58,1357.51,1.00
,,115,1,50.00,87.00,37.00,0.74,5.39,14.72,2.73,1357.08,1357.08,1.00
,,116,1,52.33,86.33,34.00,0.65,13.73,25.44,1.85,1361.37,1357.87,1.00
,,117,3,50.33,69.00,18.67,0.37,27.74,310.44,11.19,1361.37,1361.17,1.00
,,118,1,50.00,87.00,37.00,0.74,37.83,66.86,1.77,1359.37,1359.37,1.00
,,119,1,60.33,87.00,26.67,0.44,8.97,19.14,2.13,1359.38,1359.88,1.00
,,120,1,47.00,87.33,40.33,0.86,16.55,32.33,1.95,1359.38,1359.38,1.00
,,121,1,56.00,87.00,31.00,0.55,12.20,27.44,2.25,1357.63,1357.63,1.00
,,122,1,48.33,87.00,38.67,0.80,69.84,120.38,1.72,1364.38,1364.38,1.00
,,123,1,50.00,88.00,38.00,0.76,54.60,87.90,1.61,1359.64,1359.64,1.00
,,124,1,50.33,68.33,18.00,0.36,8.16,15.13,1.85,1358.75,1358.64,1.00
,,125,1,50.33,88.00,37.67,0.75,16.69,36.97,2.22,1358.14,1358.14,1.00
,,126,2,48.67,87.00,38.33,0.79,26.78,206.05,7.69,1357.39,1357.39,1.00
,,127,1,48.67,87.00,38.33,0.79,87.49,154.53,1.77,1357.53,1357.14,1.00
,,128,1,52.67,89.33,36.67,0.70,12.09,20.76,1.72,1359.07,1358.64,1.00
,,129,1,49.00,87.33,38.33,0.78,21.20,40.26,1.90,1360.97,1359.84,1.00
,,130,1,48.33,87.00,38.67,0.80,37.05,60.07,1.62,1360.14,1361.14,1.00
,,131,1,81.67,87.67,6.00,0.07,55.55,98.65,1.78,1360.64,1360.64,1.00
,,132,1,50.33,86.33,36.00,0.72,3.84,12.97,3.38,1358.14,1358.39,1.00
,,133,1,49.33,87.00,37.67,0.76,3.86,12.69,3.29,1358.14,1358.14,1.00
